Cod_setor,Situacao_setor,V002,V004,Target_2_10_salarios_per_capita
355030801000001,1,907777,3960,108
355030801000002,1,846525,0,91
355030801000003,1,505662,0,48
355030801000004,1,446011,0,38
355030801000005,1,615215,0,66
355030801000006,1,507028,0,52
355030801000007,1,447486,0,48
355030801000008,1,465060,0,44
355030801000009,1,627150,0,75
355030801000010,1,798631,0,89
355030801000011,1,961728,0,144
355030801000012,1,1119240,0,134
355030801000013,1,1060384,0,136
355030801000014,1,1089232,0,128
355030801000015,1,791262,0,69
355030801000016,1,299500,0,26
355030801000017,1,516887,0,63
355030801000018,1,619007,0,58
355030801000019,1,977665,0,125
355030801000020,1,603739,0,60
355030801000021,1,904578,0,98
355030801000022,1,728056,0,74
355030801000023,1,558797,0,66
355030801000024,1,591544,0,75
355030801000025,1,559299,0,66
355030801000026,1,658830,0,73
355030801000027,1,1474767,0,184
355030801000028,1,467084,510,52
355030801000029,1,744628,0,68
355030801000030,1,549108,0,58
355030801000031,1,1257941,7800,143
355030801000032,1,860805,0,108
355030801000033,1,923199,0,108
355030801000034,1,536377,0,64
355030801000035,1,755654,0,79
355030801000036,1,864308,0,68
355030801000037,1,990634,0,128
355030801000038,1,467724,0,35
355030801000039,1,657041,0,64
355030801000040,1,606788,600,64
355030801000041,1,1526284,0,185
355030801000042,1,283690,0,34
355030801000043,1,541162,0,44
355030801000044,1,582307,0,68
355030801000045,1,412303,0,42
355030801000046,1,853552,0,87
355030801000047,1,764858,0,75
355030801000048,1,311023,0,35
355030801000049,1,1014458,0,116
355030801000050,1,743703,0,90
355030801000051,1,755678,0,79
355030801000052,1,725527,0,83
355030801000053,1,1366433,0,175
355030801000054,1,1341339,0,127
355030801000055,1,2781245,0,263
355030801000056,1,861880,0,121
355030801000057,1,793849,0,100
355030801000058,1,858339,0,78
355030801000059,1,1618522,0,169
355030801000060,1,121939,0,15
355030801000061,1,739071,0,69
355030801000062,1,4044611,0,332
355030801000063,1,286814,0,38
355030801000064,1,395628,0,51
355030801000065,1,1256550,0,181
355030801000066,1,421479,0,48
355030801000067,1,562940,0,68
355030801000068,1,881466,0,100
355030801000069,1,726075,0,90
355030801000070,1,1028804,0,151
355030801000071,1,1754721,0,263
355030801000072,1,663776,0,61
355030801000073,1,545132,0,53
355030801000074,1,325419,256,35
355030801000075,1,699577,0,99
355030801000076,1,2698558,0,306
355030801000077,1,1568744,0,177
355030801000078,1,500141,0,46
355030801000079,1,329055,0,38
355030801000080,1,2043318,2400,278
355030801000081,1,1686604,0,213
355030801000082,1,1962332,0,252
355030801000083,1,2558742,0,320
355030801000084,1,464820,0,50
355030801000085,1,1479870,0,156
355030801000086,1,849129,0,111
355030801000087,1,1079595,0,130
355030801000088,1,719964,0,86
355030801000089,1,353955,0,38
355030801000090,1,371441,0,39
355030801000091,1,369172,0,35
355030801000092,1,489770,0,62
355030801000093,1,409088,0,45
355030801000094,1,880758,0,108
355030801000095,1,896279,0,117
355030801000096,1,472605,0,61
355030801000097,1,307025,0,41
355030801000098,1,504398,0,55
355030801000099,1,417129,0,26
355030801000100,1,1024372,0,132
355030801000101,1,971899,0,135
355030801000102,1,1474758,0,192
355030801000103,1,588036,0,71
355030801000104,1,1152865,5100,156
355030801000105,1,180154,0,23
355030801000106,1,1099470,0,107
355030801000107,1,399465,0,44
355030801000108,1,1048026,0,141
355030801000109,1,689211,0,90
355030801000110,1,1072585,0,132
355030801000111,1,1169193,0,146
355030801000112,1,515176,0,63
355030801000113,1,587448,0,58
355030801000114,1,291020,0,37
355030801000115,1,102153,0,14
355030801000116,1,338070,0,29
355030801000117,1,1188771,0,108
355030801000118,1,883223,0,96
355030801000119,1,3169735,2000,215
355030801000120,1,2154911,0,193
355030801000121,1,1300640,0,145
355030801000122,1,1298721,0,115
355030801000123,1,259432,0,26
355030801000124,1,224920,0,27
355030801000125,1,838378,0,91
355030801000126,1,1108515,0,130
355030801000127,1,655587,0,63
355030801000128,1,2233985,0,128
355030801000129,1,616633,0,80
355030801000130,1,909253,0,145
355030802000001,1,2835150,0,144
355030802000002,1,2094661,0,133
355030802000003,1,2270618,0,188
355030802000004,1,1437246,0,117
355030802000005,1,2517000,0,169
355030802000006,1,2204760,0,143
355030802000007,1,1963088,0,138
355030802000008,1,3409540,0,207
355030802000009,1,1517220,0,112
355030802000010,1,2224898,0,195
355030802000011,1,2395971,0,212
355030802000012,1,1413837,0,101
355030802000013,1,4959154,0,268
355030802000014,1,1751711,0,110
355030802000015,1,1438194,0,97
355030802000016,1,1940472,0,98
355030802000017,1,3196068,0,188
355030802000018,1,6306938,0,240
355030802000019,1,1061304,0,144
355030802000020,1,799305,0,134
355030802000021,1,841103,0,141
355030802000022,1,3233917,0,212
355030802000023,1,3558402,0,215
355030802000024,1,1902772,0,141
355030802000025,1,1696835,0,186
355030802000026,1,1663430,0,171
355030802000027,1,1946405,600,194
355030802000028,1,1473211,0,154
355030802000029,1,2022257,0,208
355030802000030,1,811640,0,77
355030802000031,1,2934642,0,240
355030802000033,1,544909,0,58
355030802000034,1,1544889,0,150
355030802000035,1,2665659,0,240
355030802000036,1,4257432,0,252
355030802000037,1,3803907,0,239
355030802000038,1,2318865,0,136
355030802000039,1,2437593,0,119
355030802000040,1,809948,0,64
355030802000041,1,2482053,0,156
355030802000042,1,4378345,0,200
355030802000043,1,7029761,0,277
355030802000044,1,2960960,0,172
355030802000045,1,2570410,0,150
355030802000046,1,862753,0,114
355030802000047,1,3271016,0,214
355030802000048,1,2249138,0,179
355030802000049,1,1250044,0,134
355030802000050,1,1110025,0,166
355030802000051,1,1319144,0,169
355030802000052,1,961220,0,99
355030802000053,1,1268894,0,62
355030802000054,1,1633405,0,176
355030802000055,1,2062438,0,245
355030802000056,1,1938381,0,233
355030802000057,1,2163821,0,228
355030802000058,1,3799849,0,289
355030802000059,1,1397322,0,157
355030802000060,1,3122599,0,160
355030802000061,1,2963778,0,145
355030802000062,1,1781846,0,105
355030802000063,1,922749,0,110
355030802000064,1,1653234,0,172
355030802000065,1,1812388,0,142
355030802000066,1,771426,0,89
355030802000067,1,2853444,0,141
355030802000068,1,1677780,0,143
355030802000069,1,1947451,0,73
355030802000070,1,1796762,1015,85
355030802000071,1,1079679,0,96
355030802000072,1,1951472,0,141
355030802000073,1,2903620,0,117
355030802000074,1,2422185,0,113
355030802000075,1,2463910,0,210
355030802000076,1,2793567,0,135
355030802000077,1,1106559,0,135
355030802000078,1,633032,0,61
355030802000079,1,468322,0,40
355030803000001,1,501978,0,39
355030803000002,1,321296,2110,13
355030803000003,1,377470,0,21
355030803000004,1,426078,3020,38
355030803000005,1,803250,1300,26
355030803000006,1,468519,0,30
355030803000007,1,1032131,0,68
355030803000008,1,527575,0,30
355030803000009,1,509316,0,36
355030803000010,1,944565,2000,66
355030803000011,1,842602,0,53
355030803000012,1,602271,0,41
355030803000013,1,526272,0,36
355030803000014,1,675813,1300,59
355030803000015,1,607057,0,63
355030803000016,1,386018,0,32
355030803000017,1,898370,0,100
355030803000018,1,779111,0,70
355030803000019,1,78836,0,4
355030803000020,1,278734,0,15
355030803000021,1,305742,4460,13
355030803000022,1,310862,0,20
355030803000023,1,400404,1600,37
355030803000024,1,543176,0,36
355030803000025,1,938325,0,107
355030803000026,1,847882,0,92
355030803000027,1,103710,0,9
355030803000028,1,248071,0,11
355030803000029,1,124691,0,8
355030803000030,1,851056,0,47
355030803000031,1,344589,0,15
355030803000032,1,486452,0,20
355030803000033,1,449689,0,25
355030803000034,8,X,X,0
355030803000035,1,419667,700,32
355030803000036,1,896137,0,48
355030803000037,1,558793,0,39
355030803000038,1,755697,700,46
355030803000039,1,470887,0,21
355030803000040,1,520319,1460,26
355030803000041,1,558755,0,37
355030803000042,8,174894,0,3
355030803000043,8,X,X,0
355030803000044,8,X,X,0
355030803000045,8,38125,0,4
355030803000046,8,38325,0,3
355030803000047,8,135110,0,6
355030803000048,8,145758,0,7
355030803000049,8,23320,0,3
355030803000050,8,19781,0,0
355030803000051,1,149244,0,11
355030803000052,1,245013,0,18
355030803000053,1,337002,300,27
355030803000054,1,417159,0,19
355030803000055,1,867151,0,40
355030803000056,2,52999,0,2
355030803000057,4,429750,0,19
355030803000058,1,115414,0,7
355030803000059,4,83983,0,5
355030803000060,1,150847,0,4
355030803000061,4,540289,0,9
355030803000066,8,11630,0,0
355030803000067,8,118270,1620,1
355030803000070,2,23475,0,2
355030803000071,2,X,X,0
355030803000073,2,115540,0,10
355030803000074,8,54550,0,2
355030803000076,1,715857,0,55
355030803000077,1,923362,0,42
355030803000078,4,114651,0,6
355030803000079,1,755204,1500,29
355030803000080,1,240688,0,7
355030803000082,2,46230,0,2
355030803000083,8,118322,0,7
355030803000084,8,45940,0,4
355030803000085,2,X,X,0
355030803000086,2,36817,0,0
355030803000087,8,20350,0,3
355030803000088,8,12770,0,2
355030803000089,2,8919,0,1
355030803000090,1,25099,0,1
355030803000091,2,193660,0,10
355030803000093,8,X,X,0
355030803000094,1,504880,0,26
355030803000095,2,46200,0,3
355030803000096,2,119435,800,7
355030803000097,8,14770,0,0
355030803000098,8,X,X,0
355030803000100,8,18240,0,3
355030803000101,3,659312,0,42
355030803000102,2,240435,0,21
355030803000103,2,35960,0,3
355030803000104,2,12858,0,2
355030803000105,1,485427,0,36
355030803000106,8,X,X,0
355030803000107,8,32480,0,1
355030803000111,1,405689,0,19
355030803000112,1,110525,3280,2
355030803000113,1,111525,0,6
355030803000114,1,1081059,1200,123
355030803000115,1,374089,0,14
355030803000116,1,117347,2600,1
355030803000117,1,147214,0,4
355030803000118,1,82968,0,3
355030803000119,1,281886,0,6
355030803000120,1,140872,0,5
355030803000121,1,477560,0,21
355030804000001,1,325280,0,9
355030804000002,1,394260,0,36
355030804000003,1,454037,0,38
355030804000004,1,344149,0,18
355030804000005,1,912255,0,93
355030804000006,1,116260,0,1
355030804000007,1,475551,0,54
355030804000008,1,538558,600,42
355030804000009,1,170350,0,2
355030804000010,1,295918,0,21
355030804000011,1,616215,600,46
355030804000012,1,670637,0,72
355030804000013,1,778775,0,66
355030804000014,1,862352,0,90
355030804000015,1,636960,0,55
355030804000016,1,502620,0,60
355030804000017,1,353070,0,39
355030804000018,1,424325,0,40
355030804000019,1,352101,0,1
355030804000020,1,555203,0,29
355030804000021,1,821741,0,93
355030804000022,1,1222292,0,148
355030804000023,1,917036,2100,119
355030804000024,1,674919,0,53
355030804000025,1,1624865,0,210
355030804000026,1,762111,0,101
355030804000027,1,881842,0,106
355030804000028,1,1218200,1602,151
355030804000029,1,670955,0,50
355030804000030,1,856053,0,93
355030804000031,1,650709,0,66
355030804000032,1,402243,0,29
355030804000033,1,421957,0,41
355030804000034,1,440249,0,47
355030804000035,1,793177,0,82
355030804000036,1,447024,0,26
355030804000037,1,301962,0,7
