Cod_setor,Situacao_setor,V022,5a15salarios,15oumais
355030801000001,1,559050,190000,117000
355030801000002,1,504928,165300,81000
355030801000003,1,242002,57000,82000
355030801000004,1,202645,69600,34000
355030801000005,1,340056,115500,26500
355030801000006,1,312005,125200,44600
355030801000007,1,224465,61800,17400
355030801000008,1,200420,53200,32000
355030801000009,1,364440,103600,47000
355030801000010,1,407602,162200,70000
355030801000011,1,578348,272500,67000
355030801000012,1,635518,296900,85000
355030801000013,1,712151,356935,183000
355030801000014,1,491109,204200,46000
355030801000015,1,355320,96700,128500
355030801000016,1,150320,47300,16000
355030801000017,1,203676,57900,0
355030801000018,1,315112,121460,38000
355030801000019,1,655909,296100,122700
355030801000020,1,267001,91495,45000
355030801000021,1,520930,204600,121000
355030801000022,1,372469,105000,56000
355030801000023,1,234248,92500,43000
355030801000024,1,315874,113800,27000
355030801000025,1,261660,55600,32000
355030801000026,1,259480,91400,46700
355030801000027,1,826468,363242,234500
355030801000028,1,266694,105350,46300
355030801000029,1,443198,101000,140000
355030801000030,1,235728,79600,50000
355030801000031,1,725638,248000,262000
355030801000032,1,495445,237165,68000
355030801000033,1,450565,201400,80000
355030801000034,1,293113,91000,28000
355030801000035,1,320103,113300,58000
355030801000036,1,442722,92700,216000
355030801000037,1,486973,173900,10000
355030801000038,1,206969,57051,10000
355030801000039,1,343332,103800,0
355030801000040,1,248207,48600,8000
355030801000041,1,961479,420166,331200
355030801000042,1,159170,44500,10000
355030801000043,1,306146,89100,63600
355030801000044,1,327817,105300,18000
355030801000045,1,215646,72500,44000
355030801000046,1,474609,161500,119000
355030801000047,1,351983,82205,70000
355030801000048,1,110825,48845,0
355030801000049,1,633491,202200,224700
355030801000050,1,331950,118900,67000
355030801000051,1,346901,48600,78500
355030801000052,1,447113,196890,126000
355030801000053,1,829529,385051,262500
355030801000054,1,784954,216044,389800
355030801000055,1,1981871,646300,1111702
355030801000056,1,555874,309290,100500
355030801000057,1,320658,95100,24300
355030801000058,1,441839,132900,160200
355030801000059,1,1093220,431100,553400
355030801000060,1,66339,34800,0
355030801000061,1,473955,152000,232000
355030801000062,1,2465971,875051,1380100
355030801000063,1,119663,47700,10000
355030801000064,1,239908,107100,44000
355030801000065,1,748250,346500,226700
355030801000066,1,218059,50951,37000
355030801000067,1,297037,122600,10201
355030801000068,1,440240,185200,26000
355030801000069,1,429518,157100,68000
355030801000070,1,638089,313300,72000
355030801000071,1,772944,340400,107800
355030801000072,1,431201,86000,136000
355030801000073,1,279910,96100,8000
355030801000074,1,135273,66770,14100
355030801000075,1,386040,161600,46200
355030801000076,1,1583525,806950,566650
355030801000077,1,1032334,500100,448500
355030801000078,1,301264,87000,79500
355030801000079,1,138890,54000,20000
355030801000080,1,1287972,690210,338600
355030801000081,1,1097465,521200,350300
355030801000082,1,1241922,677730,359500
355030801000083,1,1693262,712600,650500
355030801000084,1,252405,74700,84000
355030801000085,1,1046460,437600,525000
355030801000086,1,362369,122000,42000
355030801000087,1,494465,177200,83800
355030801000088,1,437577,164600,105000
355030801000089,1,223283,83800,37800
355030801000090,1,168761,49994,0
355030801000091,1,128054,50151,0
355030801000092,1,261341,83200,10000
355030801000093,1,238473,78555,16500
355030801000094,1,493626,215210,67800
355030801000095,1,460336,157750,84760
