Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
355030801000001;1;2;907777;903817;3960;0;0;14;51;94;49;42;12;5;1;
355030801000002;1;0;846525;846525;0;0;2;28;87;94;45;30;12;4;4;
355030801000003;1;0;505662;505662;0;0;3;11;38;50;19;16;10;3;39;
355030801000004;1;0;446011;446011;0;0;3;8;39;57;14;14;9;1;36;
355030801000005;1;0;615215;615215;0;0;2;20;68;76;37;18;8;3;8;
355030801000006;1;0;507028;507028;0;0;2;12;34;63;20;25;6;1;49;
355030801000007;1;0;447486;447486;0;0;3;21;66;62;26;15;6;1;49;
355030801000008;1;0;465060;465060;0;0;5;16;42;49;15;20;7;2;70;
355030801000009;1;0;627150;627150;0;0;6;19;63;78;33;30;11;1;4;
355030801000010;1;0;798631;798631;0;0;2;3;49;71;36;32;17;4;4;
355030801000011;1;0;961728;961728;0;0;1;11;40;70;48;57;37;2;1;
355030801000012;1;0;1119240;1119240;0;0;2;2;34;93;50;56;20;8;5;
355030801000013;1;0;1060384;1060384;0;0;0;2;28;52;42;37;42;15;0;
355030801000014;1;0;1089232;1089232;0;0;4;12;55;108;50;41;33;4;4;
355030801000015;1;0;791262;791262;0;0;5;15;24;62;19;21;20;9;7;
355030801000016;1;0;299500;299500;0;1;0;18;40;42;14;7;4;1;42;
355030801000017;1;0;516887;516887;0;0;1;8;36;79;39;17;7;0;10;
355030801000018;1;0;619007;619007;0;0;3;19;55;73;27;18;10;3;3;
355030801000019;1;0;977665;977665;0;0;0;11;65;79;59;34;31;1;1;
355030801000020;1;0;603739;603739;0;0;2;12;62;80;28;14;15;3;33;
355030801000021;1;0;904578;904578;0;0;1;14;45;77;37;31;27;3;18;
355030801000022;1;0;728056;728056;0;0;0;16;52;90;37;26;7;4;13;
355030801000023;1;0;558797;558797;0;0;1;5;31;42;22;24;17;3;64;
355030801000024;1;0;591544;591544;0;0;0;9;37;68;35;32;7;1;3;
355030801000025;1;0;559299;559299;0;0;2;28;69;65;40;18;7;1;66;
355030801000026;1;0;658830;658830;0;0;1;12;30;51;30;23;17;3;6;
355030801000027;1;0;1474767;1474767;0;0;1;7;41;80;57;63;49;15;16;
355030801000028;1;1;467084;466574;510;0;0;10;53;39;13;24;12;3;4;
355030801000029;1;0;744628;744628;0;0;4;16;55;84;34;23;8;3;4;
355030801000030;1;0;549108;549108;0;1;3;12;37;53;22;23;10;3;46;
355030801000031;1;1;1257941;1250141;7800;2;0;5;25;80;55;49;30;9;5;
355030801000032;1;0;860805;860805;0;0;1;11;30;68;38;43;23;4;3;
355030801000033;1;0;923199;923199;0;0;2;6;38;67;41;38;27;2;1;
355030801000034;1;0;536377;536377;0;0;0;11;52;63;36;22;3;3;8;
355030801000035;1;0;755654;755654;0;1;2;17;67;70;31;25;18;5;18;
355030801000036;1;0;864308;864308;0;1;3;16;54;68;26;30;9;3;9;
355030801000037;1;0;990634;990634;0;1;0;19;76;112;58;51;17;2;2;
355030801000038;1;0;467724;467724;0;1;5;14;58;66;20;11;3;1;48;
355030801000039;1;0;657041;657041;0;1;4;24;56;109;36;22;5;1;3;
355030801000040;1;1;606788;606188;600;5;5;17;65;104;31;29;3;1;8;
355030801000041;1;0;1526284;1526284;0;0;1;4;27;73;49;65;56;15;26;
355030801000042;1;0;283690;283690;0;0;1;6;28;41;17;14;3;0;29;
355030801000043;1;0;541162;541162;0;1;2;19;56;74;19;14;7;4;19;
355030801000044;1;0;582307;582307;0;1;3;21;50;85;44;20;4;0;38;
355030801000045;1;0;412303;412303;0;0;3;7;24;34;21;10;8;3;3;
355030801000046;1;0;853552;853552;0;0;0;6;44;86;28;30;25;4;12;
355030801000047;1;0;764858;764858;0;0;0;11;66;83;31;29;13;2;7;
355030801000048;1;0;311023;311023;0;0;5;10;27;51;21;10;3;1;10;
355030801000049;1;0;1014458;1014458;0;0;3;3;30;70;43;43;22;8;4;
355030801000050;1;0;743703;743703;0;4;2;9;32;66;33;41;10;6;53;
355030801000051;1;0;755678;755678;0;0;2;11;59;125;42;28;7;2;4;
355030801000052;1;0;725527;725527;0;0;1;8;25;53;27;22;25;9;15;
355030801000053;1;0;1366433;1366433;0;0;0;1;21;55;43;58;54;20;2;
355030801000054;1;0;1341339;1341339;0;0;0;3;26;60;35;37;35;20;0;
355030801000055;1;0;2781245;2781245;0;0;0;4;25;58;53;78;81;51;7;
355030801000056;1;0;861880;861880;0;1;1;6;17;51;43;31;39;8;4;
355030801000057;1;0;793849;793849;0;0;2;9;43;93;48;34;14;4;14;
355030801000058;1;0;858339;858339;0;0;0;11;29;70;22;24;23;9;7;
355030801000059;1;0;1618522;1618522;0;0;1;5;19;46;34;49;66;20;12;
355030801000060;1;0;121939;121939;0;0;3;4;11;8;7;6;2;0;5;
355030801000061;1;0;739071;739071;0;0;0;7;14;35;18;15;25;11;0;
355030801000062;1;0;4044611;4044611;0;0;1;6;28;66;50;111;106;65;12;
355030801000063;1;0;286814;286814;0;1;0;6;17;31;18;13;5;2;33;
355030801000064;1;0;395628;395628;0;0;1;6;18;39;24;16;11;0;18;
355030801000065;1;0;1256550;1256550;0;0;2;3;12;42;51;64;45;21;3;
355030801000066;1;0;421479;421479;0;0;4;8;45;44;22;17;8;1;6;
355030801000067;1;0;562940;562940;0;0;2;7;52;62;32;18;17;1;13;
355030801000068;1;0;881466;881466;0;0;2;15;60;100;50;31;17;2;4;
355030801000069;1;0;726075;726075;0;0;1;10;35;84;43;30;15;2;7;
355030801000070;1;0;1028804;1028804;0;0;0;14;35;83;66;47;32;6;26;
355030801000071;1;0;1754721;1754721;0;0;2;12;33;108;93;104;60;6;9;
355030801000072;1;0;663776;663776;0;0;1;8;59;90;32;21;6;2;5;
355030801000073;1;0;545132;545132;0;0;2;10;56;73;25;22;6;0;10;
355030801000074;1;1;325419;325163;256;0;4;16;28;45;20;9;5;1;54;
355030801000075;1;0;699577;699577;0;0;3;10;47;59;48;38;13;0;54;
355030801000076;1;0;2698558;2698558;0;0;0;4;18;48;55;101;108;42;6;
355030801000077;1;0;1568744;1568744;0;0;1;0;4;23;30;70;58;19;2;
355030801000078;1;0;500141;500141;0;0;2;5;20;64;20;15;7;4;8;
355030801000079;1;0;329055;329055;0;0;2;8;41;28;15;13;8;2;55;
355030801000080;1;1;2043318;2040918;2400;1;1;7;28;69;57;89;103;29;0;
355030801000081;1;0;1686604;1686604;0;1;2;9;33;73;53;82;58;20;16;
355030801000082;1;0;1962332;1962332;0;0;0;7;38;71;47;98;82;25;18;
355030801000083;1;0;2558742;2558742;0;0;1;10;29;84;85;86;102;47;2;
355030801000084;1;1;464820;464820;0;1;0;9;26;28;22;13;10;5;9;
355030801000085;1;0;1479870;1479870;0;0;0;2;11;30;30;36;65;25;0;
355030801000086;1;0;849129;849129;0;0;1;6;46;81;52;37;20;2;7;
355030801000087;1;0;1079595;1079595;0;0;1;9;58;109;66;43;19;2;1;
355030801000088;1;0;719964;719964;0;0;0;10;33;58;34;38;13;1;4;
355030801000089;1;0;353955;353955;0;0;0;9;28;44;18;14;6;0;9;
355030801000090;1;0;371441;371441;0;0;1;12;37;52;23;12;4;0;8;
355030801000091;1;0;369172;369172;0;0;0;14;30;45;20;11;4;0;33;
355030801000092;1;0;489770;489770;0;0;2;7;39;60;30;24;8;0;2;
355030801000093;1;0;409088;409088;0;0;1;3;31;68;25;12;8;0;4;
