Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
355030801000001;1;13;0;0;4;0;16;0;0;3;0
355030801000002;1;25;0;0;5;0;18;0;0;4;0
355030801000003;1;14;0;0;0;0;17;1;0;0;0
355030801000004;1;12;2;0;2;0;12;1;0;2;0
355030801000005;1;20;0;0;2;0;18;0;2;4;0
355030801000006;1;13;0;0;2;0;13;1;0;0;0
355030801000007;1;9;1;0;2;0;11;2;1;5;0
355030801000008;1;11;0;0;5;0;14;0;0;6;0
355030801000009;1;19;0;0;4;0;8;0;0;3;0
355030801000010;1;10;0;0;2;0;10;0;0;0;0
355030801000011;1;19;1;1;1;0;17;0;1;1;0
355030801000012;1;12;0;0;5;0;16;0;0;3;0
355030801000013;1;12;0;1;2;0;18;0;0;3;0
355030801000014;1;20;2;1;0;0;23;2;0;2;0
355030801000015;1;5;0;2;0;0;9;1;1;0;0
355030801000016;1;8;0;0;2;0;12;0;0;2;0
355030801000017;1;9;0;0;2;0;8;1;0;3;0
355030801000018;1;13;1;2;5;1;14;1;0;4;0
355030801000019;1;20;3;0;1;0;13;2;0;0;0
355030801000020;1;8;1;0;6;0;18;0;1;3;0
355030801000021;1;15;0;0;2;0;13;0;0;1;0
355030801000022;1;14;0;0;2;0;20;0;0;2;0
355030801000023;1;11;0;0;2;0;10;0;1;1;0
355030801000024;1;17;0;0;3;0;13;0;1;3;0
355030801000025;1;15;1;0;3;0;19;3;0;2;0
355030801000026;1;13;0;0;1;0;5;0;0;2;0
355030801000027;1;17;0;0;1;0;20;1;0;2;0
355030801000028;1;8;0;0;1;0;7;0;0;2;0
355030801000029;1;15;1;0;8;0;15;0;0;5;0
355030801000030;1;7;0;0;1;0;7;0;0;3;0
355030801000031;1;8;0;0;0;0;11;0;0;1;0
355030801000032;1;13;0;0;1;0;15;0;0;2;0
355030801000033;1;13;0;0;1;0;17;2;0;0;0
355030801000034;1;8;2;0;5;0;9;0;0;3;0
355030801000035;1;12;0;0;5;0;12;2;2;4;0
355030801000036;1;10;0;0;6;0;15;0;0;2;0
355030801000037;1;17;0;4;5;0;18;1;1;4;0
355030801000038;1;9;0;0;3;0;12;0;0;2;0
355030801000039;1;19;5;0;4;0;16;2;1;11;0
355030801000040;1;19;0;0;7;0;19;0;0;5;0
355030801000041;1;10;0;0;2;0;19;0;1;3;0
355030801000042;1;6;0;0;0;0;3;1;0;4;0
355030801000043;1;15;0;0;1;0;6;0;0;2;0
355030801000044;1;13;1;0;8;0;10;1;0;6;0
355030801000045;1;7;0;0;2;0;3;1;0;2;0
355030801000046;1;11;0;0;3;0;15;0;1;2;0
355030801000047;1;13;0;0;3;0;11;0;0;2;0
355030801000048;1;8;0;0;2;0;10;1;0;0;0
355030801000049;1;7;1;0;4;0;9;1;2;4;0
355030801000050;1;16;0;0;0;0;8;1;0;1;0
355030801000051;1;19;0;0;4;0;14;0;0;3;0
355030801000052;1;5;0;0;4;1;11;0;0;1;1
355030801000053;1;25;0;0;0;0;22;0;0;2;0
355030801000054;1;5;0;0;0;0;14;0;0;0;0
355030801000055;1;16;0;1;2;0;21;0;0;1;0
355030801000056;1;9;0;0;1;0;17;0;0;1;0
355030801000057;1;8;3;0;0;0;15;0;0;3;0
355030801000058;1;10;0;1;3;0;10;0;0;1;0
355030801000059;1;16;0;0;0;0;18;0;0;1;0
355030801000060;1;7;0;0;0;0;3;0;0;1;0
355030801000061;1;12;0;0;0;0;7;0;0;0;0
355030801000062;1;32;0;1;2;0;37;0;0;3;0
355030801000063;1;4;0;0;3;0;0;0;0;1;0
355030801000064;1;9;2;0;0;0;7;0;0;0;0
355030801000065;1;18;0;2;3;0;19;0;1;1;0
355030801000066;1;4;0;0;3;0;6;0;1;1;0
355030801000067;1;19;1;1;4;0;11;0;0;4;0
355030801000068;1;15;0;2;3;0;17;1;0;3;0
355030801000069;1;16;0;0;0;0;9;0;0;1;0
355030801000070;1;17;0;0;2;0;15;0;0;1;0
355030801000071;1;33;0;0;3;0;38;1;1;4;0
355030801000072;1;6;0;0;6;0;11;1;1;4;0
355030801000073;1;15;1;0;6;0;9;1;0;2;0
355030801000074;1;10;0;1;1;0;10;0;1;1;0
355030801000075;1;5;0;2;0;0;12;0;2;0;0
355030801000076;1;38;0;1;2;0;25;1;0;0;0
355030801000077;1;25;0;1;1;0;14;0;2;1;0
355030801000078;1;15;0;0;1;0;11;0;0;0;0
355030801000079;1;7;0;0;4;0;4;0;0;8;0
355030801000080;1;25;1;0;1;0;28;0;1;1;0
355030801000081;1;21;0;0;4;0;14;0;0;3;0
355030801000082;1;32;0;0;0;0;30;0;0;4;0
355030801000083;1;35;0;1;4;1;27;1;1;4;0
355030801000084;1;7;0;0;1;0;7;1;0;2;0
355030801000085;1;23;0;0;0;0;12;0;0;1;0
355030801000086;1;18;0;0;4;0;13;0;0;1;0
355030801000087;1;11;0;1;1;0;16;0;1;0;0
355030801000088;1;8;0;0;3;0;9;0;0;1;0
355030801000089;1;4;0;0;0;0;3;0;0;0;0
355030801000090;1;6;2;0;0;0;8;2;0;1;0
355030801000091;1;2;1;0;0;0;10;0;0;3;0
355030801000092;1;16;0;1;5;0;10;0;1;1;0
355030801000093;1;5;0;0;1;0;9;1;0;1;0
355030801000094;1;6;0;1;2;0;12;2;1;1;0
355030801000095;1;15;0;1;0;0;9;1;1;1;0
355030801000096;1;12;1;1;0;0;4;1;0;0;0
355030801000097;1;2;0;0;1;0;8;0;3;0;0
355030801000098;1;16;1;0;2;0;12;1;0;1;0
355030801000099;1;6;0;1;2;0;3;1;1;0;0
355030801000100;1;12;0;1;1;0;10;0;1;2;0
355030801000101;1;15;0;0;4;0;9;0;0;4;0
355030801000102;1;14;0;0;0;0;16;0;2;1;0
355030801000103;1;7;0;0;0;0;5;1;0;0;0
355030801000104;1;32;0;2;4;0;18;0;0;1;0
355030801000105;1;6;0;0;1;0;0;0;0;3;0
355030801000106;1;11;1;0;1;0;8;0;1;1;0
355030801000107;1;7;0;0;0;0;5;0;0;1;0
355030801000108;1;14;0;0;0;0;10;0;0;2;0
355030801000109;1;11;1;0;3;0;5;0;0;0;0
355030801000110;1;13;0;1;0;0;10;0;0;1;0
355030801000111;1;17;0;0;1;0;13;0;0;3;0
355030801000112;1;3;0;0;0;0;2;0;0;1;0
355030801000113;1;14;0;0;3;0;15;1;0;7;0
355030801000114;1;5;0;0;0;0;6;0;0;1;0
355030801000115;1;2;1;0;0;0;4;1;0;0;0
355030801000116;1;2;0;0;0;0;2;0;0;1;0
355030801000117;1;4;0;0;1;0;13;0;0;1;0
355030801000118;1;8;0;0;0;0;3;0;0;1;0
355030801000119;1;30;0;0;0;0;21;0;0;1;0
355030801000120;1;17;1;0;0;0;8;0;0;1;0
355030801000121;1;12;0;0;0;0;14;1;0;6;0
355030801000122;1;12;0;0;1;0;15;0;0;2;0
355030801000123;1;3;0;0;1;0;6;0;0;0;0
355030801000124;1;4;0;1;1;0;5;0;0;0;0
355030801000125;1;11;0;2;1;0;13;0;1;0;0
355030801000126;1;16;0;0;0;0;15;0;0;0;0
355030801000127;1;15;0;0;5;0;11;0;0;2;0
355030801000128;1;15;0;1;0;0;14;0;0;0;0
355030801000129;1;5;0;0;0;0;10;0;0;1;0
