Cod_setor;Situacao_setor;V001;V002;V003
355030801000001;1;74;0;0
355030801000002;1;116;0;0
355030801000003;1;71;0;0
355030801000004;1;64;0;0
355030801000005;1;92;1;0
355030801000006;1;70;0;0
355030801000007;1;78;1;0
355030801000008;1;92;0;0
355030801000009;1;84;0;0
355030801000010;1;61;0;0
355030801000011;1;87;0;0
355030801000012;1;76;0;0
355030801000013;1;72;0;0
355030801000014;1;118;0;0
355030801000015;1;53;0;0
355030801000016;1;65;0;0
355030801000017;1;56;0;0
355030801000018;1;92;0;0
355030801000019;1;104;0;0
355030801000020;1;91;0;0
355030801000021;1;75;0;0
355030801000022;1;88;0;0
355030801000023;1;68;0;0
355030801000024;1;86;0;0
355030801000025;1;105;0;0
355030801000026;1;47;0;0
355030801000027;1;92;0;0
355030801000028;1;39;0;0
355030801000029;1;95;0;0
355030801000030;1;53;0;0
355030801000031;1;46;0;0
355030801000032;1;67;0;0
355030801000033;1;69;0;0
355030801000034;1;64;0;0
355030801000035;1;86;0;0
355030801000036;1;96;0;0
355030801000037;1;111;0;0
355030801000038;1;73;0;0
355030801000039;1;131;0;0
355030801000040;1;112;0;0
355030801000041;1;75;0;0
355030801000042;1;37;0;0
355030801000043;1;85;0;2
355030801000044;1;108;1;0
355030801000045;1;37;0;0
355030801000046;1;65;0;0
355030801000047;1;68;0;0
355030801000048;1;60;0;0
355030801000049;1;68;0;0
355030801000050;1;58;0;0
355030801000051;1;74;0;0
355030801000052;1;48;0;0
355030801000053;1;79;0;0
355030801000054;1;51;0;0
355030801000055;1;76;0;0
355030801000056;1;63;0;0
355030801000057;1;70;0;0
355030801000058;1;64;0;0
355030801000059;1;86;0;0
355030801000060;1;23;0;0
355030801000061;1;46;0;0
355030801000062;1;168;0;0
355030801000063;1;29;0;1
355030801000064;1;34;0;0
355030801000065;1;68;0;0
355030801000066;1;35;0;0
355030801000067;1;80;0;0
355030801000068;1;83;0;0
355030801000069;1;49;0;0
355030801000070;1;87;0;0
355030801000071;1;148;0;0
355030801000072;1;57;0;0
355030801000073;1;84;0;0
355030801000074;1;61;0;0
355030801000075;1;70;0;0
355030801000076;1;132;0;0
355030801000077;1;99;0;0
355030801000078;1;55;0;0
355030801000079;1;39;0;0
355030801000080;1;111;0;0
355030801000081;1;102;0;0
355030801000082;1;118;0;0
355030801000083;1;160;0;0
355030801000084;1;47;0;0
355030801000085;1;71;0;0
355030801000086;1;76;0;0
355030801000087;1;72;0;0
355030801000088;1;56;0;0
355030801000089;1;27;0;0
355030801000090;1;57;0;0
355030801000091;1;50;0;0
355030801000092;1;70;0;0
355030801000093;1;50;0;0
355030801000094;1;60;0;0
355030801000095;1;59;0;0
355030801000096;1;46;1;0
355030801000097;1;32;0;0
355030801000098;1;66;0;0
355030801000099;1;39;0;0
355030801000100;1;46;0;0
355030801000101;1;79;0;0
355030801000102;1;73;0;0
355030801000103;1;36;0;0
355030801000104;1;102;2;0
355030801000105;1;22;0;0
355030801000106;1;62;0;0
355030801000107;1;27;0;0
355030801000108;1;70;0;0
355030801000109;1;55;0;0
355030801000110;1;49;0;0
355030801000111;1;65;0;0
355030801000112;1;31;0;0
355030801000113;1;73;1;1
355030801000114;1;23;0;0
355030801000115;1;21;0;0
355030801000116;1;17;0;0
355030801000117;1;41;0;0
355030801000118;1;26;0;0
355030801000119;1;113;0;0
355030801000120;1;70;0;0
355030801000121;1;89;1;0
355030801000122;1;65;0;0
355030801000123;1;28;0;0
355030801000124;1;19;0;0
355030801000125;1;68;0;0
355030801000126;1;81;0;0
355030801000127;1;72;0;0
355030801000128;1;77;0;0
355030801000129;1;31;0;0
355030801000130;1;63;0;0
355030802000001;1;33;0;0
355030802000002;1;44;0;0
355030802000003;1;50;0;0
355030802000004;1;45;0;0
355030802000005;1;60;0;0
355030802000006;1;43;0;0
355030802000007;1;82;3;1
355030802000008;1;69;0;0
355030802000009;1;43;0;0
355030802000010;1;76;0;0
355030802000011;1;69;0;0
355030802000012;1;32;0;0
355030802000013;1;98;0;0
355030802000014;1;28;3;0
355030802000015;1;35;0;1
355030802000016;1;35;0;0
355030802000017;1;70;0;0
355030802000018;1;139;0;0
355030802000019;1;60;0;0
355030802000020;1;41;0;0
355030802000021;1;33;0;0
355030802000022;1;59;0;0
355030802000023;1;72;0;0
355030802000024;1;24;0;0
355030802000025;1;46;0;0
355030802000026;1;39;0;0
355030802000027;1;59;0;0
355030802000028;1;23;0;0
355030802000029;1;19;0;0
355030802000030;1;17;0;0
355030802000031;1;71;0;0
355030802000033;1;19;0;0
355030802000034;1;30;0;0
355030802000035;1;33;0;0
355030802000036;1;71;0;0
355030802000037;1;99;0;0
355030802000038;1;44;0;0
355030802000039;1;34;0;0
355030802000040;1;11;0;0
355030802000041;1;41;0;0
355030802000042;1;55;0;0
355030802000043;1;88;0;0
355030802000044;1;51;0;0
355030802000045;1;62;0;0
355030802000046;1;18;0;0
355030802000047;1;120;0;0
355030802000048;1;41;0;0
355030802000049;1;30;0;0
355030802000050;1;37;1;0
355030802000051;1;48;0;0
355030802000052;1;44;0;0
355030802000053;1;16;0;0
355030802000054;1;68;0;0
355030802000055;1;46;0;0
355030802000056;1;25;0;0
355030802000057;1;44;0;0
355030802000058;1;71;0;0
355030802000059;1;44;0;0
355030802000060;1;52;0;0
355030802000061;1;73;0;0
355030802000062;1;60;0;0
355030802000063;1;23;0;0
355030802000064;1;89;0;0
355030802000065;1;68;0;0
355030802000066;1;44;0;0
355030802000067;1;66;0;0
355030802000068;1;63;0;0
355030802000069;1;22;0;0
355030802000070;1;30;0;0
355030802000071;1;18;0;0
355030802000072;1;65;0;0
355030802000073;1;64;0;0
355030802000074;1;101;1;0
355030802000075;1;74;0;0
355030802000076;1;51;0;0
355030802000077;1;22;0;0
355030802000078;1;24;0;0
355030802000079;1;23;0;0
355030803000001;1;146;0;0
355030803000002;1;159;0;0
355030803000003;1;142;1;0
355030803000004;1;149;0;0
355030803000005;1;404;0;0
355030803000006;1;153;0;0
355030803000007;1;324;0;0
355030803000008;1;157;0;0
355030803000009;1;153;0;0
355030803000010;1;242;0;1
355030803000011;1;264;1;0
355030803000012;1;143;0;0
355030803000013;1;128;0;1
355030803000014;1;102;0;0
355030803000015;1;89;0;1
355030803000016;1;82;0;0
355030803000017;1;164;0;0
355030803000018;1;160;0;0
355030803000019;1;19;0;0
355030803000020;1;80;0;0
355030803000021;1;149;0;0
355030803000022;1;82;0;0
355030803000023;1;99;0;0
355030803000024;1;164;0;0
355030803000025;1;140;0;0
355030803000026;1;163;0;0
355030803000027;1;16;0;0
355030803000028;1;98;0;0
355030803000029;1;56;0;0
355030803000030;1;284;0;0
355030803000031;1;135;0;0
355030803000032;1;247;0;1
355030803000033;1;224;0;0
355030803000034;8;1;X;X
355030803000035;1;141;0;0
355030803000036;1;321;0;0
355030803000037;1;143;0;0
355030803000038;1;235;0;0
355030803000039;1;163;0;0
355030803000040;1;175;0;0
355030803000041;1;174;0;0
355030803000042;8;112;0;0
355030803000043;8;3;X;X
355030803000044;8;2;X;X
355030803000045;8;11;0;0
355030803000046;8;19;0;0
355030803000047;8;57;0;0
355030803000048;8;85;0;0
355030803000049;8;4;0;0
355030803000050;8;4;0;0
355030803000051;1;37;0;0
355030803000052;1;62;0;0
355030803000053;1;97;0;0
355030803000054;1;137;0;0
355030803000055;1;418;0;0
355030803000056;2;30;0;0
355030803000057;4;173;0;0
355030803000058;1;53;0;0
355030803000059;4;36;0;0
355030803000060;1;85;0;0
355030803000061;4;318;0;0
355030803000066;8;11;0;0
355030803000067;8;97;0;0
355030803000070;2;21;0;0
355030803000071;2;2;X;X
355030803000073;2;19;0;0
355030803000074;8;32;0;0
355030803000076;1;166;0;1
355030803000077;1;428;0;0
355030803000078;4;54;0;0
355030803000079;1;311;0;0
355030803000080;1;111;0;0
355030803000082;2;22;0;0
355030803000083;8;39;0;0
355030803000084;8;11;0;0
355030803000085;2;5;X;X
355030803000086;2;21;0;0
355030803000087;8;4;0;0
355030803000088;8;3;0;0
355030803000089;2;3;0;0
355030803000090;1;18;0;0
355030803000091;2;98;0;0
355030803000093;8;0;X;X
355030803000094;1;158;0;0
355030803000095;2;5;0;0
355030803000096;2;39;0;0
355030803000097;8;2;0;0
355030803000098;8;1;X;X
355030803000100;8;5;0;0
355030803000101;3;197;0;0
355030803000102;2;25;0;0
355030803000103;2;14;0;0
355030803000104;2;5;0;0
355030803000105;1;208;0;0
355030803000106;8;0;X;X
355030803000107;8;33;0;0
355030803000111;1;194;0;0
355030803000112;1;92;0;0
355030803000113;1;42;0;0
