CD_GEOCODI,Sum - ATACADO_MIC,Sum - ATACADO_PEQ,Sum - ATACADO_MED,Sum - ATACADO_GDE,ATACADO,Sum - VAREJO_MIC,Sum - VAREJO_PEQ,Sum - VAREJO_MED,Sum - VAREJO_GDE,VAREJO,Sum - ENSINO_MIC,Sum - ENSINO_PEQ,Sum - ENSINO_MED,Sum - ENSINO_GDE,ENSINO,Sum - FINANC_MIC,Sum - FINANC_PEQ,Sum - FINANC_MED,Sum - FINANC_GDE,FINANC,Sum - SAUDE_MIC,Sum - SAUDE_PEQ,Sum - SAUDE_MED,Sum - SAUDE_GDE,SAUDE,Sum - TRANSP_MIC,Sum - TRANSP_PEQ,Sum - TRANSP_MED,Sum - TRANSP_GDE,TRANSP
355030801000118,141,30,4,0,175,605,98,9,2,714,18,15,3,0,36,32,5,0,0,37,65,2,0,0,67,57,17,4,0,78
355030802000016,29,13,4,2,48,306,83,6,5,400,35,23,3,4,65,35,19,1,1,56,103,4,2,1,110,48,13,2,1,64
355030802000030,29,13,4,2,48,306,83,6,5,400,35,23,3,4,65,35,19,1,1,56,103,4,2,1,110,48,13,2,1,64
355030802000037,29,13,4,2,48,306,83,6,5,400,35,23,3,4,65,35,19,1,1,56,103,4,2,1,110,48,13,2,1,64
355030802000039,29,13,4,2,48,306,83,6,5,400,35,23,3,4,65,35,19,1,1,56,103,4,2,1,110,48,13,2,1,64
355030802000043,232,104,32,16,384,2448,664,48,40,3200,280,184,24,32,520,280,152,8,8,448,824,32,16,8,880,384,104,16,8,512
355030802000059,29,13,4,2,48,306,83,6,5,400,35,23,3,4,65,35,19,1,1,56,103,4,2,1,110,48,13,2,1,64
355030802000060,29,13,4,2,48,306,83,6,5,400,35,23,3,4,65,35,19,1,1,56,103,4,2,1,110,48,13,2,1,64
355030803000017,11,3,1,0,15,101,13,2,2,118,5,6,0,0,11,0,0,0,0,0,12,1,0,0,13,44,5,2,6,57
355030803000050,11,3,1,0,15,101,13,2,2,118,5,6,0,0,11,0,0,0,0,0,12,1,0,0,13,44,5,2,6,57
355030804000072,91,28,0,6,125,502,93,4,3,602,26,9,2,1,38,14,10,0,0,24,30,1,0,0,31,43,6,0,0,49
355030805000012,19,2,0,0,21,200,31,0,0,231,7,7,0,1,15,5,0,0,0,5,16,3,0,0,19,17,4,0,1,22
355030805000081,4,0,0,0,4,122,20,0,2,144,10,5,0,0,15,3,1,0,0,4,26,1,0,0,27,15,0,0,0,15
355030806000001,174,92,32,18,316,928,250,42,34,1254,40,38,16,12,106,84,68,4,6,162,184,16,2,8,210,212,78,18,10,318
355030806000002,87,46,16,9,158,464,125,21,17,627,20,19,8,6,53,42,34,2,3,81,92,8,1,4,105,106,39,9,5,159
355030806000003,783,414,144,81,1422,4176,1125,189,153,5643,180,171,72,54,477,378,306,18,27,729,828,72,9,36,945,954,351,81,45,1431
355030806000004,435,230,80,45,790,2320,625,105,85,3135,100,95,40,30,265,210,170,10,15,405,460,40,5,20,525,530,195,45,25,795
355030806000005,87,46,16,9,158,464,125,21,17,627,20,19,8,6,53,42,34,2,3,81,92,8,1,4,105,106,39,9,5,159
355030806000015,174,92,32,18,316,928,250,42,34,1254,40,38,16,12,106,84,68,4,6,162,184,16,2,8,210,212,78,18,10,318
355030806000018,957,506,176,99,1738,5104,1375,231,187,6897,220,209,88,66,583,462,374,22,33,891,1012,88,11,44,1155,1166,429,99,55,1749
355030806000020,87,46,16,9,158,464,125,21,17,627,20,19,8,6,53,42,34,2,3,81,92,8,1,4,105,106,39,9,5,159
355030806000026,87,46,16,9,158,464,125,21,17,627,20,19,8,6,53,42,34,2,3,81,92,8,1,4,105,106,39,9,5,159
355030807000002,159,42,15,15,231,1191,312,15,6,1524,72,57,6,12,147,99,69,12,12,192,1179,87,15,54,1335,342,78,15,15,450
355030807000012,318,84,30,30,462,2382,624,30,12,3048,144,114,12,24,294,198,138,24,24,384,2358,174,30,108,2670,684,156,30,30,900
355030807000013,56,22,2,2,82,346,69,4,1,420,19,15,3,6,43,37,22,4,15,78,276,13,5,4,298,96,22,4,2,124
355030807000014,106,28,10,10,154,794,208,10,4,1016,48,38,4,8,98,66,46,8,8,128,786,58,10,36,890,228,52,10,10,300
355030807000015,212,56,20,20,308,1588,416,20,8,2032,96,76,8,16,196,132,92,16,16,256,1572,116,20,72,1780,456,104,20,20,600
355030807000033,56,22,2,2,82,346,69,4,1,420,19,15,3,6,43,37,22,4,15,78,276,13,5,4,298,96,22,4,2,124
355030807000036,159,42,15,15,231,1191,312,15,6,1524,72,57,6,12,147,99,69,12,12,192,1179,87,15,54,1335,342,78,15,15,450
355030807000038,53,14,5,5,77,397,104,5,2,508,24,19,2,4,49,33,23,4,4,64,393,29,5,18,445,114,26,5,5,150
355030807000042,106,28,10,10,154,794,208,10,4,1016,48,38,4,8,98,66,46,8,8,128,786,58,10,36,890,228,52,10,10,300
355030807000047,53,14,5,5,77,397,104,5,2,508,24,19,2,4,49,33,23,4,4,64,393,29,5,18,445,114,26,5,5,150
355030807000049,53,14,5,5,77,397,104,5,2,508,24,19,2,4,49,33,23,4,4,64,393,29,5,18,445,114,26,5,5,150
355030807000055,318,84,30,30,462,2382,624,30,12,3048,144,114,12,24,294,198,138,24,24,384,2358,174,30,108,2670,684,156,30,30,900
355030807000067,56,22,2,2,82,346,69,4,1,420,19,15,3,6,43,37,22,4,15,78,276,13,5,4,298,96,22,4,2,124
355030807000068,112,44,4,4,164,692,138,8,2,840,38,30,6,12,86,74,44,8,30,156,552,26,10,8,596,192,44,8,4,248
355030807000069,56,22,2,2,82,346,69,4,1,420,19,15,3,6,43,37,22,4,15,78,276,13,5,4,298,96,22,4,2,124
355030807000070,106,28,10,10,154,794,208,10,4,1016,48,38,4,8,98,66,46,8,8,128,786,58,10,36,890,228,52,10,10,300
355030807000072,53,14,5,5,77,397,104,5,2,508,24,19,2,4,49,33,23,4,4,64,393,29,5,18,445,114,26,5,5,150
355030807000077,212,56,20,20,308,1588,416,20,8,2032,96,76,8,16,196,132,92,16,16,256,1572,116,20,72,1780,456,104,20,20,600
355030807000078,336,132,12,12,492,2076,414,24,6,2520,114,90,18,36,258,222,132,24,90,468,1656,78,30,24,1788,576,132,24,12,744
355030807000080,112,44,4,4,164,692,138,8,2,840,38,30,6,12,86,74,44,8,30,156,552,26,10,8,596,192,44,8,4,248
355030807000089,448,176,16,16,656,2768,552,32,8,3360,152,120,24,48,344,296,176,32,120,624,2208,104,40,32,2384,768,176,32,16,992
355030807000093,159,42,15,15,231,1191,312,15,6,1524,72,57,6,12,147,99,69,12,12,192,1179,87,15,54,1335,342,78,15,15,450
355030807000097,56,22,2,2,82,346,69,4,1,420,19,15,3,6,43,37,22,4,15,78,276,13,5,4,298,96,22,4,2,124
355030807000098,105,25,15,5,150,805,140,5,10,960,50,35,5,0,90,125,70,10,30,235,1460,80,20,20,1580,195,40,20,10,265
355030807000111,21,5,3,1,30,161,28,1,2,192,10,7,1,0,18,25,14,2,6,47,292,16,4,4,316,39,8,4,2,53
355030807000119,53,14,5,5,77,397,104,5,2,508,24,19,2,4,49,33,23,4,4,64,393,29,5,18,445,114,26,5,5,150
355030807000129,273,65,39,13,390,2093,364,13,26,2496,130,91,13,0,234,325,182,26,78,611,3796,208,52,52,4108,507,104,52,26,689
355030808000018,236,56,11,1,304,720,110,8,2,840,18,10,9,2,39,25,17,0,1,43,106,5,1,5,117,100,16,3,2,121
355030808000021,1180,280,55,5,1520,3600,550,40,10,4200,90,50,45,10,195,125,85,0,5,215,530,25,5,25,585,500,80,15,10,605
355030808000031,236,56,11,1,304,720,110,8,2,840,18,10,9,2,39,25,17,0,1,43,106,5,1,5,117,100,16,3,2,121
355030808000039,236,56,11,1,304,720,110,8,2,840,18,10,9,2,39,25,17,0,1,43,106,5,1,5,117,100,16,3,2,121
355030809000001,1623,348,21,12,2004,2895,438,33,12,3378,72,45,12,9,138,90,66,6,0,162,159,12,6,3,180,363,69,15,3,450
355030809000011,541,116,7,4,668,965,146,11,4,1126,24,15,4,3,46,30,22,2,0,54,53,4,2,1,60,121,23,5,1,150
355030809000012,3787,812,49,28,4676,6755,1022,77,28,7882,168,105,28,21,322,210,154,14,0,378,371,28,14,7,420,847,161,35,7,1050
355030809000018,1082,232,14,8,1336,1930,292,22,8,2252,48,30,8,6,92,60,44,4,0,108,106,8,4,2,120,242,46,10,2,300
355030809000023,1623,348,21,12,2004,2895,438,33,12,3378,72,45,12,9,138,90,66,6,0,162,159,12,6,3,180,363,69,15,3,450
355030809000029,541,116,7,4,668,965,146,11,4,1126,24,15,4,3,46,30,22,2,0,54,53,4,2,1,60,121,23,5,1,150
355030809000036,541,116,7,4,668,965,146,11,4,1126,24,15,4,3,46,30,22,2,0,54,53,4,2,1,60,121,23,5,1,150
355030809000039,541,116,7,4,668,965,146,11,4,1126,24,15,4,3,46,30,22,2,0,54,53,4,2,1,60,121,23,5,1,150
355030810000004,1071,174,20,5,1270,1632,217,13,4,1866,8,1,0,2,11,30,16,2,3,51,25,2,1,1,29,142,14,3,1,160
355030811000221,14,2,0,0,16,194,22,0,0,216,6,26,0,0,32,0,0,0,0,0,4,2,0,0,6,60,0,0,2,62
355030812000019,25,5,2,0,32,241,52,2,2,297,23,17,2,0,42,13,5,1,1,20,24,1,2,1,28,32,1,0,0,33
355030812000020,51,14,1,4,70,401,88,8,5,502,32,23,4,26,85,22,24,4,0,50,37,4,0,2,43,58,16,3,0,77
355030812000025,357,98,7,28,490,2807,616,56,35,3514,224,161,28,182,595,154,168,28,0,350,259,28,0,14,301,406,112,21,0,539
